subjname,convo,rest
DYAD_122_1,0,0
DYAD_122_2,0,0
DYAD_130_1,2,0
DYAD_130_2,15,0
DYAD_134_1,0,0
DYAD_134_2,0,0
DYAD_140_1,0,0
DYAD_140_2,1,0
DYAD_36_1,1,0
DYAD_36_2,0,0
